51300040606,dag,199,187
51300043030,fad,127,209
51300048162,fed,90,183
51300087820,bab,56,176
51300099630,eca,202,108
51300141936,fgg,56,164
51300143166,fde,158,63
51300166807,ggf,17,102
51300208487,bed,57,48
51300231698,aeg,172,276
51300253250,egg,59,200
51300270969,bea,18,59
51300279654,gfe,100,214
51300285876,cdb,60,18
51300296288,faa,153,24
51300298793,bdd,56,261
51300318269,beb,84,34
51300328033,gbd,40,19
51300336139,fee,296,230
51300346377,fbf,150,171
51300352654,aca,134,158
51300387797,feb,181,285
51300412925,bac,116,79
51300441404,fca,92,177
51300456941,ecc,155,56
51300486464,bda,13,249
51300518680,daa,289,198
51300569438,cbe,73,249
51300576089,bfg,220,107
51300605955,ecb,69,274
51300607337,fbe,278,120
51300615938,ead,182,134
51300623920,ffg,123,203
51300733141,cad,61,182
51300743535,dfe,16,218
51300770615,eba,267,269
51300797023,feg,218,161
51300878892,eba,85,225
51300900005,aec,47,298
51300904940,ffg,14,217
51300949359,ceg,8,250
51300951940,afb,82,174
51300975529,dbg,272,144
51300983370,dbd,150,77
51300988931,fdb,199,251
51301007534,ggb,89,253
51301008247,bca,229,97
51301009838,cab,10,276
51301037656,cae,59,12
51301052100,bdd,274,287
51301105174,fce,286,237
51301113228,dbg,177,128
51301143820,acb,209,269
51301171093,eaa,203,131
51301191975,ggb,250,209
51301194914,dbe,277,43
51301198516,ccd,75,106
51301242636,gga,198,46
51301268458,faf,40,277
51301322034,gbc,211,65
51301362868,acd,171,228
51301362884,gfg,285,188
51301381130,gac,45,204
51301393307,feg,122,159
51301423260,bdd,135,275
51301425546,ced,240,265
51301474157,dbe,198,40
51301475721,cgb,161,214
51301497084,aaf,96,147
51301547041,gfb,292,297
51301554304,dga,68,186
51301558031,gag,2,268
51301559349,ace,69,143
51301569035,bac,27,64
51301572626,bee,145,20
51301628267,fgg,17,164
51301630009,bdf,62,229
51301669869,fga,24,190
51301672037,afd,214,80
51301744474,cdf,173,74
51301759991,fcc,165,247
51301792918,gce,19,175
51301802569,fga,99,190
51301826942,cga,76,176
51301847565,bbb,218,40
51301851201,ebc,237,185
51301876234,gde,197,182
51301893774,ffa,238,13
51301907294,cde,239,16
51301953220,egg,138,238
51301953989,gbf,129,94
51301971882,fca,205,182
51302044031,gge,72,253
51302072645,dcb,182,276
51302102886,cbg,210,292
51302119070,ebb,207,214
51302139111,cff,232,34
51302169356,edf,239,49
51302189711,ccd,151,115
51302246018,gbe,276,73
51302293456,bab,102,165
51302326513,aba,53,246
51302327373,ece,160,16
51302333230,gag,77,308
51302341571,bcd,187,141
51302346242,cca,143,209
51302381463,dbb,7,122
51302383077,bfe,194,11
51302386006,baf,154,106
51302406406,cef,70,91
51302417755,baf,11,115
51302424957,fba,48,37
51302442325,ceg,66,240
51302467296,bad,32,170
51302515376,bdc,180,223
51302524632,gdg,133,244
51302543118,bfd,26,218
51302573487,edb,230,214
51302580141,aec,280,306
51302591124,bee,135,22
51302599646,ceg,298,252
51302607299,dce,155,208
51302618792,feg,121,144
51302649587,fcg,12,146
51302670625,dfc,73,278
51302718243,abc,278,188
51302719409,def,19,260
51302739118,baa,127,193
51302749920,cba,195,149
51302757230,eea,185,97
51302767256,acd,244,207
51302787598,fda,284,181
51302801318,gfg,107,223
51302806917,ebg,74,76
51302817126,bde,89,91
51302824344,ege,224,241
51302835762,dee,159,13
51302838734,efb,291,214
51302846841,abg,253,266
51302890465,dbf,158,192
51302935700,ggc,238,102
51302941684,edf,106,56
51302964132,cfe,165,24
51302964573,ffd,90,217
51302986539,cfb,162,180
51302990317,cbf,62,269
51303010142,fgb,130,294
51303015595,deg,56,32
51303036432,afd,106,68
51303075327,beb,151,31
51303091190,fcb,223,118
51303107998,dfd,263,6
51303153695,cbe,230,276
51303158385,dgb,176,145
51303195263,gcc,291,229
51303202136,gae,120,11
51303207106,cbd,53,112
51303223007,eff,61,152
51303233183,ccb,88,87
51303260647,ccd,283,97
51303278444,ccg,66,55
51303287379,ecd,177,264
51303345361,bce,9,264
51303403565,gfb,89,353
51303428397,ddb,92,258
51303444561,fda,114,175
51303445871,gee,109,95
51303457778,cgd,16,97
51303459815,cag,267,277
51303508269,adg,117,137
51303511522,fcf,148,114
51303519745,ccb,210,92
51303538012,fbc,8,115
51303541448,ebb,223,175
51303554758,gba,77,195
51303560518,ddd,45,272
51303572573,fef,164,67
51303574513,dff,1,213
51303577946,dff,113,185
51303590719,egb,127,175
51303600995,bea,195,51
51303602869,ffg,86,232
51303606304,dcf,236,85
51303626290,dge,260,15
51303629798,dba,181,46
51303640657,ggb,291,248
51303645502,bde,281,84
51303646387,afb,21,154
51303656592,eda,282,128
51303674175,dgg,1,45
51303698159,gbd,298,22
51303771396,add,142,181
51303822943,bge,293,99
51303836803,cff,118,27
51303869355,bce,270,314
51303871866,dac,58,12
51303916403,gde,288,205
51303924256,agc,146,260
51303924391,ead,291,108
51303939193,bba,278,184
51304006808,dee,31,14
51304043115,gac,243,236
51304045451,cbd,178,103
51304058119,dec,108,278
51304071612,gfc,145,246
51304075630,fbd,97,224
51304096033,cdg,277,265
51304102113,eea,299,96
51304135724,ddg,165,229
51304138254,dgd,200,38
51304141433,ebc,55,203
51304153937,aea,292,225
51304171742,dcg,187,193
51304176572,bbd,196,158
51304197315,ega,163,298
51304224118,fbb,87,177
51304238549,bcb,298,274
51304270565,dga,19,193
51304286374,add,24,171
51304299297,ffc,78,152
51304318759,ggf,295,109
51304323284,aga,276,173
